id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,IR pressure,35,43,22,63,199,ship,baseline,monotonic-signal
g002,lowering drift,83,30,37,93,363,ship,edge,drag-penalty
g003,stack depth,67,61,4,77,463,ship,recovery,confidence-floor
g004,diagnostic reach,106,44,10,23,464,ship,negative,lane-boundary
g005,IR pressure,41,73,35,87,236,ship,baseline,monotonic-signal
g006,lowering drift,56,55,28,80,299,ship,edge,drag-penalty
g007,stack depth,111,14,5,81,595,ship,recovery,confidence-floor
g008,diagnostic reach,54,31,37,86,234,ship,negative,lane-boundary
g009,IR pressure,73,42,13,93,455,ship,baseline,monotonic-signal
g010,lowering drift,86,50,23,58,395,ship,edge,drag-penalty
g011,stack depth,52,21,9,45,274,ship,recovery,confidence-floor
g012,diagnostic reach,83,44,45,86,323,ship,negative,lane-boundary
g013,IR pressure,102,23,41,68,362,ship,baseline,monotonic-signal
g014,lowering drift,71,15,43,21,126,watch,edge,drag-penalty
g015,stack depth,103,49,25,88,512,ship,recovery,confidence-floor
g016,diagnostic reach,78,33,38,83,321,ship,negative,lane-boundary
g017,IR pressure,113,63,25,85,560,ship,baseline,monotonic-signal
g018,lowering drift,90,45,20,90,485,ship,edge,drag-penalty
g019,stack depth,38,74,19,97,325,ship,recovery,confidence-floor
g020,diagnostic reach,104,56,20,62,496,ship,negative,lane-boundary
g021,IR pressure,52,14,43,92,191,ship,baseline,monotonic-signal
g022,lowering drift,74,66,14,76,444,ship,edge,drag-penalty
g023,stack depth,44,24,22,22,134,watch,recovery,confidence-floor
g024,diagnostic reach,33,41,7,86,310,ship,negative,lane-boundary
g025,IR pressure,75,17,22,79,365,ship,baseline,monotonic-signal
g026,lowering drift,55,77,31,80,302,ship,edge,drag-penalty
g027,stack depth,93,75,37,85,432,ship,recovery,confidence-floor
g028,diagnostic reach,115,76,20,92,620,ship,negative,lane-boundary
g029,IR pressure,86,9,13,57,402,ship,baseline,monotonic-signal
g030,lowering drift,31,48,32,44,100,hold,edge,drag-penalty
g031,stack depth,95,35,22,85,475,ship,recovery,confidence-floor
g032,diagnostic reach,76,66,40,67,304,ship,negative,lane-boundary
g033,IR pressure,36,49,8,20,193,ship,baseline,monotonic-signal
g034,lowering drift,108,8,36,87,434,ship,edge,drag-penalty
g035,stack depth,59,60,30,82,310,ship,recovery,confidence-floor
g036,diagnostic reach,82,19,26,84,385,ship,negative,lane-boundary
g037,IR pressure,97,36,28,89,462,ship,baseline,monotonic-signal
g038,lowering drift,64,47,10,96,445,ship,edge,drag-penalty
g039,stack depth,95,55,23,61,442,ship,recovery,confidence-floor
g040,diagnostic reach,114,26,10,91,614,ship,negative,lane-boundary
g041,IR pressure,39,49,5,75,330,ship,baseline,monotonic-signal
g042,lowering drift,93,28,4,21,422,ship,edge,drag-penalty
g043,stack depth,36,20,5,85,309,ship,recovery,confidence-floor
g044,diagnostic reach,55,54,28,78,290,ship,negative,lane-boundary
g045,IR pressure,112,38,41,79,439,ship,baseline,monotonic-signal
g046,lowering drift,56,68,7,84,425,ship,edge,drag-penalty
g047,stack depth,31,50,34,91,186,ship,recovery,confidence-floor
g048,diagnostic reach,66,9,7,56,350,ship,negative,lane-boundary
g049,IR pressure,43,61,16,43,239,ship,baseline,monotonic-signal
g050,lowering drift,79,19,22,84,393,ship,edge,drag-penalty
g051,stack depth,57,71,5,66,406,ship,recovery,confidence-floor
g052,diagnostic reach,93,29,40,105,411,ship,negative,lane-boundary
g053,IR pressure,115,46,17,86,593,ship,baseline,monotonic-signal
g054,lowering drift,85,22,7,81,489,ship,edge,drag-penalty
g055,stack depth,74,12,25,83,349,ship,recovery,confidence-floor
g056,diagnostic reach,116,10,35,88,475,ship,negative,lane-boundary
g057,IR pressure,96,11,21,95,480,ship,baseline,monotonic-signal
g058,lowering drift,46,14,15,60,243,ship,edge,drag-penalty
g059,stack depth,68,53,11,90,450,ship,recovery,confidence-floor
g060,diagnostic reach,39,40,13,74,279,ship,negative,lane-boundary
g061,IR pressure,72,71,37,20,214,ship,baseline,monotonic-signal
g062,lowering drift,48,54,8,84,374,ship,edge,drag-penalty
g063,stack depth,117,13,37,77,450,ship,recovery,confidence-floor
g064,diagnostic reach,77,65,32,78,369,ship,negative,lane-boundary
g065,IR pressure,61,24,31,83,279,ship,baseline,monotonic-signal
g066,lowering drift,100,41,32,90,461,ship,edge,drag-penalty
g067,stack depth,35,52,13,55,237,ship,recovery,confidence-floor
g068,diagnostic reach,50,60,26,42,214,ship,negative,lane-boundary
g069,IR pressure,105,31,34,83,447,ship,baseline,monotonic-signal
g070,lowering drift,48,54,19,65,281,ship,edge,drag-penalty
g071,stack depth,67,33,34,104,339,ship,recovery,confidence-floor
g072,diagnostic reach,80,25,43,85,300,ship,negative,lane-boundary
g073,IR pressure,46,59,7,80,368,ship,baseline,monotonic-signal
g074,lowering drift,77,43,32,82,355,ship,edge,drag-penalty
g075,stack depth,96,73,25,87,506,ship,recovery,confidence-floor
g076,diagnostic reach,65,55,44,94,283,ship,negative,lane-boundary
g077,IR pressure,97,14,34,59,350,ship,baseline,monotonic-signal
g078,lowering drift,72,66,10,89,482,ship,edge,drag-penalty
g079,stack depth,107,24,20,73,498,ship,recovery,confidence-floor
g080,diagnostic reach,84,76,6,105,592,ship,negative,lane-boundary
g081,IR pressure,32,34,42,83,118,watch,baseline,monotonic-signal
g082,lowering drift,98,51,38,76,405,ship,edge,drag-penalty
g083,stack depth,46,27,40,77,165,watch,recovery,confidence-floor
g084,diagnostic reach,68,17,22,82,343,ship,negative,lane-boundary
g085,IR pressure,38,15,35,89,170,watch,baseline,monotonic-signal
g086,lowering drift,115,16,22,54,474,ship,edge,drag-penalty
g087,stack depth,69,19,17,41,292,ship,recovery,confidence-floor
g088,diagnostic reach,49,58,16,82,338,ship,negative,lane-boundary
g089,IR pressure,87,45,17,64,436,ship,baseline,monotonic-signal
g090,lowering drift,109,76,40,103,518,ship,edge,drag-penalty
g091,stack depth,80,59,11,84,492,ship,recovery,confidence-floor
g092,diagnostic reach,113,18,19,79,533,ship,negative,lane-boundary
g093,IR pressure,89,70,4,81,568,ship,baseline,monotonic-signal
g094,lowering drift,70,29,19,86,386,ship,edge,drag-penalty
g095,stack depth,30,46,28,93,212,ship,recovery,confidence-floor
g096,diagnostic reach,102,57,34,58,411,ship,negative,lane-boundary
